contractor	job_type
586	10
613	20
79	30
163	40
342	50
217	60
175	70
877	80
963	90
224	100
824	110
337	120
934	130
725	140
284	150
331	160
556	170
713	180
471	190
646	200
199	210
939	220
289	230
23	240
789	250
926	260
641	270
160	280
915	290
476	300
115	310
628	320
830	330
380	340
465	350
99	360
410	370
389	380
481	390
911	400
748	410
255	420
387	430
968	440
943	450
185	460
861	470
664	480
858	490
592	500
269	510
949	520
85	530
633	540
642	550
110	560
563	570
690	580
294	590
209	600
84	610
49	620
189	630
768	640
301	650
113	660
829	670
957	680
667	690
32	700
948	710
394	720
334	730
924	740
599	750
72	760
16	770
972	780
70	790
67	800
617	810
950	820
659	830
895	840
804	850
97	860
761	870
87	880
42	890
507	900
304	910
732	920
526	930
376	940
69	950
622	960
549	970
766	980
187	990
361	1000
701	1010
312	1020
548	1030
866	1040
546	1050
937	1060
954	1070
119	1080
64	1090
665	1100
445	1110
809	1120
986	1130
992	1140
562	1150
901	1160
290	1170
905	1180
143	1190
651	1200
675	1210
750	1220
923	1230
973	1240
86	1250
363	1260
468	1270
716	1280
282	1290
537	1300
502	1310
385	1320
490	1330
951	1340
771	1350
458	1360
43	1370
671	1380
573	1390
578	1400
893	1410
464	1420
544	1430
109	1440
945	1450
850	1460
55	1470
530	1480
825	1490
29	1500
77	1510
298	1520
272	1530
509	1540
704	1550
947	1560
63	1570
928	1580
647	1590
350	1600
336	1610
332	1620
285	1630
518	1640
605	1650
223	1660
535	1670
439	1680
93	1690
404	1700
623	1710
776	1720
765	1730
516	1740
162	1750
370	1760
117	1770
95	1780
615	1790
168	1800
559	1810
314	1820
706	1830
250	1840
106	1850
616	1860
161	1870
588	1880
258	1890
180	1900
976	1910
140	1920
240	1930
753	1940
612	1950
340	1960
670	1970
990	1980
390	1990
179	2000
213	2010
625	2020
946	2030
174	2040
230	2050
158	2060
373	2070
737	2080
687	2090
25	2100
188	2110
916	2120
321	2130
233	2140
423	2150
215	2160
68	2170
851	2180
132	2190
242	2200
53	2210
306	2220
145	2230
681	2240
826	2250
313	2260
859	2270
407	2280
311	2290
626	2300
129	2310
146	2320
899	2330
219	2340
696	2350
283	2360
444	2370
512	2380
958	2390
138	2400
44	2410
