contractor	job
999	892
59	683
641	261
884	446
133	367
523	926
358	692
369	792
142	272
709	122
437	908
124	510
230	402
179	844
156	890
942	432
206	920
450	226
852	186
45	13
926	351
697	769
92	478
94	316
841	197
220	152
21	801
684	664
287	568
248	960
260	18
6	868
638	915
713	405
673	691
796	246
814	817
185	839
893	331
679	798
732	238
37	711
970	685
42	877
546	651
2	230
38	386
427	588
380	132
864	538
985	837
517	496
811	6
779	882
200	74
130	518
195	625
601	894
189	357
563	697
207	539
357	727
208	505
446	281
335	313
873	970
955	954
726	401
399	104
278	4
361	676
211	849
680	466
525	486
643	462
535	333
291	791
431	42
538	732
163	308
905	705
788	364
244	983
368	503
354	606
235	843
895	586
232	859
804	266
928	306
615	488
613	9
652	740
131	806
126	734
872	345
16	895
356	879
493	762
650	903
82	117
479	54
43	717
729	436
707	410
932	249
875	857
132	707
691	626
600	589
751	262
44	40
293	383
952	452
95	161
562	770
589	289
74	34
738	886
698	353
712	570
100	607
534	138
187	980
416	356
219	578
986	772
991	57
553	319
959	234
465	482
558	765
153	63
144	286
756	599
943	596
408	311
316	137
596	193
266	862
1	851
533	615
634	976
470	591
837	713
576	145
107	275
245	77
862	304
565	812
536	800
482	561
882	699
419	252
795	464
490	204
568	931
739	830
449	79
504	515
998	922
747	303
242	35
793	501
671	470
313	414
403	29
507	273
115	525
828	529
157	820
46	267
342	795
61	573
426	133
790	565
181	62
954	169
299	845
307	780
609	382
524	128
390	822
639	775
514	107
687	82
685	941
900	47
655	172
584	885
188	465
50	831
769	758
714	22
85	102
28	722
91	463
17	225
223	783
734	278
764	93
117	907
539	419
360	925
798	449
695	757
802	536
834	934
5	421
548	341
716	726
617	704
451	330
870	982
827	190
550	560
77	101
499	911
283	761
624	846
611	131
90	555
214	297
569	349
320	327
727	66
625	378
68	476
27	499
478	547
488	108
234	943
682	141
110	932
30	537
951	113
990	716
137	344
243	41
866	720
724	302
325	661
702	552
452	111
731	508
86	443
776	110
766	959
651	315
913	698
128	852
12	942
515	526
704	296
138	793
800	479
821	867
831	45
833	14
276	210
247	346
549	829
992	149
394	23
635	291
103	611
72	703
321	826
79	288
353	950
62	130
783	916
730	196
909	265
949	430
945	712
735	12
946	180
102	511
677	32
618	996
176	60
594	906
261	292
759	387
508	285
73	418
158	670
935	656
384	700
152	392
628	424
298	965
75	600
375	185
222	309
439	766
262	668
393	33
997	610
889	174
883	984
782	224
957	472
169	326
750	219
436	768
836	96
456	448
480	969
225	937
487	65
462	192
857	533
573	665
616	823
296	693
486	50
661	75
400	343
180	332
267	469
304	175
582	945
907	677
477	334
812	67
699	553
184	407
292	850
285	71
675	325
11	171
340	946
710	875
492	242
853	816
901	233
461	235
489	166
348	27
981	457
218	70
312	423
631	803
15	227
737	540
923	453
8	375
196	675
240	899
678	660
60	450
934	616
215	156
669	566
118	187
327	3
690	271
273	832
459	209
692	639
397	968
58	584
505	51
941	985
149	129
646	572
106	114
527	146
516	781
501	898
880	995
289	388
460	575
464	767
434	359
99	115
953	348
856	358
381	363
733	49
863	112
290	646
752	415
768	953
545	924
155	475
664	376
1000	708
411	251
197	688
55	764
518	458
572	738
392	755
343	904
471	609
666	5
620	489
438	789
663	61
34	502
148	368
96	467
350	987
122	736
789	896
874	99
608	973
644	940
743	350
696	650
580	640
47	459
835	535
585	788
822	977
422	425
344	177
894	684
619	514
310	80
711	328
694	427
221	21
899	796
104	8
627	105
469	389
914	750
64	321
174	471
279	548
571	774
331	168
554	203
910	301
83	680
227	162
4	516
842	280
820	778
683	451
168	951
555	393
982	95
728	307
969	191
253	686
57	569
806	592
333	30
937	672
858	103
964	905
226	485
423	936
927	318
