job_id	job_address	job_city	job_zip	job_start_date	job_end_date	job_description	price_range	job_type	creator	selected_contractor
1	123 Sesame St	Los Angeles	9001	12/1/2013	12/1/2013	My kitchen sink won't drain.	20	10	387	305
2	2827 Summit Street	Shelton	12345	1/2/2014	2/6/2015	description	40	20	354	630
3	107 Logan Lane	Peekskill	98856	1/3/2014	2/9/2015	description	60	30	663	714
4	2753 Commerce Boulevard	Irvine	14609	1/4/2014	2/12/2015	description	80	40	728	531
5	741 Cedarstone Drive	Southfield	31707	1/5/2014	2/15/2015	description	100	50	913	758
6	347 Goldleaf Lane	Norwalk	99205	1/6/2014	2/18/2015	description	120	60	356	208
7	4041 Woodside Circle	Fort Lauderdale	77340	1/7/2014	2/21/2015	description	140	70	256	843
8	1734 Grove Street	Mannford	96813	1/8/2014	2/24/2015	description	160	80	872	719
9	93 Stoneybrook Road	Indianapolis	13021	1/9/2014	2/27/2015	description	180	90	691	631
10	694 Wood Duck Drive	Richmond	45701	1/10/2014	3/2/2015	description	200	100	212	106
11	4523 Farm Meadow Drive	Atlanta	75201	1/11/2014	3/5/2015	description	220	110	444	523
12	3223 Crestview Manor	Los Angeles	60633	1/12/2014	3/8/2015	description	240	120	127	345
13	592 Eagle Drive	Burgess	3782	1/13/2014	3/11/2015	description	260	130	716	906
14	842 Mount Street	South Boston	44286	1/14/2014	3/14/2015	description	280	140	16	656
15	2066 Tuna Street	Houston	17101	1/15/2014	3/17/2015	description	300	150	310	828
16	3819 Fleming Way	Jermyn	94612	1/16/2014	3/20/2015	description	320	160	866	237
17	3236 Lucky Duck Drive	New London	49508	1/17/2014	3/23/2015	description	340	170	621	699
18	790 Riverside Drive	Cheyenne	2142	1/18/2014	3/26/2015	description	360	180	772	896
19	3276 Philadelphia Avenue	Suitland	6103	1/19/2014	3/29/2015	description	380	190	44	75
20	2965 Oakway Lane	Denver	1012	1/20/2014	4/1/2015	description	400	200	636	761
21	3304 Weekley Street	Albany	29115	1/21/2014	4/4/2015	description	420	210	172	900
22	3395 Ingram Street	Beaver Creek	66061	1/22/2014	4/7/2015	description	440	220	750	934
23	4490 Dawson Drive	Fullerton	15206	1/23/2014	4/10/2015	description	460	230	455	444
24	96 Middleville Road	Agoura	24382	1/24/2014	4/13/2015	description	480	240	585	591
25	12 Perine Street	Philadelphia	32401	1/25/2014	4/16/2015	description	500	250	306	781
